Date,AMC,GME,ORCL,HD,PFE
2/26/2016,23.299999,30.540001,36.959999,126.260002,28.681213
2/29/2016,24.030001,30.82,36.779999,124.120003,28.149904
3/1/2016,24.879999,30.940001,37.990002,125.699997,28.50095
3/2/2016,25.35,31.290001,37.759998,125.589996,28.444023
3/3/2016,25.700001,32.709999,37.889999,126.800003,28.358635
3/4/2016,27.02,31.23,37.889999,125.559998,28.187857
3/7/2016,28.68,30.74,38.360001,126.169998,28.263758
3/8/2016,28.389999,30.120001,38.150002,126.720001,27.855787
3/9/2016,28.440001,31.290001,38.48,126.029999,28.216318
3/10/2016,28.950001,30.440001,38.049999,125.889999,28.074003
3/11/2016,29.540001,30.75,38.950001,128.460007,28.937382
3/14/2016,29.389999,31.66,38.700001,128.839996,28.557875
3/15/2016,28.879999,30.780001,38.740002,129.710007,28.026566
3/16/2016,29,31.91,40.220001,130.449997,27.552181
3/17/2016,28.98,31.360001,40.610001,130.880005,27.836811
3/18/2016,29.41,30.83,41.48,131.350006,27.941175
3/21/2016,28.85,30.85,41.610001,131.009995,28.529411
3/22/2016,28.35,30.18,41.380001,130.589996,28.823528
3/23/2016,27.969999,30.370001,40.75,130.220001,28.643265
3/24/2016,28.059999,30.27,40.970001,130.460007,28.538898
3/28/2016,28.73,30.09,40.619999,131.080002,28.254269
3/29/2016,28.950001,31.51,40.700001,132.470001,28.510435
3/30/2016,28.360001,31.76,40.970001,133.419998,28.529411
3/31/2016,27.99,31.73,40.91,133.429993,28.121443
4/1/2016,28.639999,31.34,41.16,134.850006,28.50095
4/4/2016,27.83,30.93,41.07,134.850006,29.146111
4/5/2016,27.52,30.290001,40.529999,134.580002,29.753321
4/6/2016,28.120001,30.09,40.75,135.440002,31.242884
4/7/2016,27.299999,29.120001,39.970001,133.869995,31.081594
4/8/2016,27.360001,29.49,40.360001,133.619995,30.834915
4/11/2016,26.950001,29.879999,40.389999,133.009995,30.256166
4/12/2016,27.389999,30.09,40.419998,134.380005,30.32258
4/13/2016,28.16,31.469999,41.310001,133.839996,30.872866
4/14/2016,27.860001,31.65,41.240002,134.369995,30.97723
4/15/2016,27.57,31.790001,41.02,135.009995,30.834915
4/18/2016,28.219999,32.209999,41.240002,136.800003,30.93928
4/19/2016,27.75,32.450001,41.060001,135.440002,31.204933
4/20/2016,27.77,32.889999,41.099998,135.190002,31.527514
4/21/2016,27.459999,32.310001,40.990002,134.600006,31.537003
4/22/2016,27.459999,32.799999,40.700001,135.660004,31.565466
4/25/2016,26.99,32.799999,40.779999,135.649994,31.508539
4/26/2016,27.42,33.32,40.650002,135.339996,31.356735
4/27/2016,28.01,33.380001,40.849998,135.75,31.309298
4/28/2016,28.23,32.900002,40.330002,132.729996,31.223909
4/29/2016,28.18,32.799999,39.860001,133.889999,31.034157
5/2/2016,28.889999,32.360001,40.299999,136.050003,31.119545
5/3/2016,28.530001,31.299999,39.68,134.539993,31.973434
5/4/2016,28.76,30.74,39.290001,135.160004,31.688805
5/5/2016,28.870001,30.110001,39.23,134.669998,31.850096
5/6/2016,29.15,30.09,39.41,135.699997,31.859583
5/9/2016,29.15,30.190001,39.360001,136.240005,32.087288
5/10/2016,29.93,30.52,40.02,137.509995,32.06831
5/11/2016,29.65,29.200001,39.650002,134.300003,31.461102
5/12/2016,29.23,29.1,39.82,134.190002,31.489565
5/13/2016,29.309999,28.73,39.610001,133.130005,31.489565
5/16/2016,29.33,29.02,39.970001,135.339996,31.669828
5/17/2016,29.309999,28.459999,39.599998,132,31.337761
5/18/2016,28.9,28.030001,39.470001,131.770004,31.470589
5/19/2016,28.030001,28.549999,38.84,131.729996,31.669828
5/20/2016,28.23,28.48,39.41,131.850006,32.011387
5/23/2016,28.15,28.469999,39.18,131.419998,31.944971
5/24/2016,28.66,28.700001,39.900002,133.360001,32.35294
5/25/2016,28.48,29.73,40.130001,133.199997,32.590134
5/26/2016,28.530001,29.98,39.950001,134.050003,32.666035
5/27/2016,29.120001,28.799999,40.07,133.940002,32.836811
5/31/2016,28.74,29.1,40.200001,132.119995,32.922199
6/1/2016,28.93,28.950001,40.259998,131.830002,32.969639
6/2/2016,28.99,28.889999,38.66,132.410004,33.083492
6/3/2016,28.58,28.629999,39.099998,131.740005,32.912712
6/6/2016,28.190001,28.469999,39.439999,129.190002,33.140415
6/7/2016,27.91,28.459999,39.130001,129.919998,33.055027
6/8/2016,27.9,28.23,39.279999,129.589996,33.444023
6/9/2016,27.82,27.27,39.049999,129.300003,33.50095
6/10/2016,26.940001,26.530001,38.740002,128.830002,33.481972
6/13/2016,26.530001,26.030001,38.619999,127.830002,32.960152
6/14/2016,26.58,25.73,38.830002,125.239998,33.197342
6/15/2016,26.860001,26.129999,38.439999,126.529999,33.007591
